,user,id,lang,source,favorite_count,retweet_count,created_at
0,FCBarcelona,1648733446423056384,und,Twitter Web App,2122,136,2023-04-19 17:01:00+00:00
1,FCBarcelona,1648718466801713154,en,Grabyo,2597,250,2023-04-19 16:01:28+00:00
2,FCBarcelona,1648697860546875393,en,Twitter Web App,9012,613,2023-04-19 14:39:35+00:00
3,FCBarcelona,1648668588905996289,en,Twitter Web App,39880,1822,2023-04-19 12:43:17+00:00
4,FCBarcelona,1648662087646756867,en,Grabyo,8737,359,2023-04-19 12:17:27+00:00
5,FCBarcelona,1648612407311212546,en,Twitter Web App,18554,1440,2023-04-19 09:00:02+00:00
6,FCBarcelona,1648582480570482689,en,Grabyo,4948,287,2023-04-19 07:01:07+00:00
7,FCBarcelona,1648491604360192003,en,Twitter for Advertisers,8790,283,2023-04-19 01:00:00+00:00
8,FCBarcelona,1648401006537875458,es,Twitter for Advertisers,7356,249,2023-04-18 19:00:00+00:00
9,FCBarcelona,1648355713628905478,en,Twitter for Advertisers,4152,218,2023-04-18 16:00:01+00:00
10,FCBarcelona,1648310719522152449,en,Grabyo,6371,388,2023-04-18 13:01:14+00:00
11,FCBarcelona,1648295321724755969,en,Twitter Web App,32778,1427,2023-04-18 12:00:03+00:00
12,FCBarcelona,1648250296919891968,ca,Grabyo,24438,3457,2023-04-18 09:01:08+00:00
13,FCBarcelona,1648046226959486988,en,Twitter for iPhone,27815,1951,2023-04-17 19:30:14+00:00
14,FCBarcelona,1648038726168113362,und,Twitter for iPhone,32084,2129,2023-04-17 19:00:26+00:00
15,FCBarcelona,1648032733837312000,en,Twitter for iPhone,5685,287,2023-04-17 18:36:37+00:00
16,FCBarcelona,1647997668499640321,en,Twitter for iPhone,49204,2169,2023-04-17 16:17:17+00:00
17,FCBarcelona,1647987231661989888,es,Twitter for iPhone,47453,3469,2023-04-17 15:35:48+00:00
18,FCBarcelona,1647980637255499777,und,Twitter for iPhone,37959,2325,2023-04-17 15:09:36+00:00
19,FCBarcelona,1647942472004247554,en,Twitter for iPhone,12645,438,2023-04-17 12:37:57+00:00
20,FCBarcelona,1647900497183928321,en,Twitter Web App,4318,283,2023-04-17 09:51:09+00:00
21,FCBarcelona,1647899636940648451,en,Twitter Web App,9811,681,2023-04-17 09:47:44+00:00
22,FCBarcelona,1647898632669085696,en,Twitter Web App,4542,301,2023-04-17 09:43:45+00:00
23,FCBarcelona,1647897368434540545,en,Twitter Web App,5498,281,2023-04-17 09:38:43+00:00
24,FCBarcelona,1647895359677399040,en,Twitter Web App,7114,674,2023-04-17 09:30:44+00:00
25,FCBarcelona,1647894175646449665,en,Twitter Web App,3852,268,2023-04-17 09:26:02+00:00
26,FCBarcelona,1647891620413546496,en,Twitter Web App,6718,384,2023-04-17 09:15:53+00:00
27,FCBarcelona,1647890613482692608,en,Twitter Web App,4155,308,2023-04-17 09:11:53+00:00
28,FCBarcelona,1647889959120928769,en,Twitter Web App,8810,629,2023-04-17 09:09:17+00:00
29,FCBarcelona,1647888173685514241,en,Twitter for Advertisers,1895,134,2023-04-17 09:02:11+00:00
30,FCBarcelona,1647692451136647168,en,Grabyo,6160,264,2023-04-16 20:04:27+00:00
31,FCBarcelona,1647681310285078528,en,Twitter for iPhone,5289,629,2023-04-16 19:20:11+00:00
32,FCBarcelona,1647653613748011011,ht,Twitter for iPhone,3354,139,2023-04-16 17:30:08+00:00
33,FCBarcelona,1647633375014928387,en,Twitter for iPhone,26607,1251,2023-04-16 16:09:42+00:00
34,FCBarcelona,1647631956014686208,en,Twitter for iPhone,6364,171,2023-04-16 16:04:04+00:00
35,FCBarcelona,1647629398659461121,en,Twitter for iPhone,6872,210,2023-04-16 15:53:54+00:00
36,FCBarcelona,1647627516465512449,en,Twitter Web App,27379,1339,2023-04-16 15:46:26+00:00
37,FCBarcelona,1647627103402065920,ca,Twitter Web App,1369,62,2023-04-16 15:44:47+00:00
38,FCBarcelona,1647617312856367104,en,Twitter Web App,4324,172,2023-04-16 15:05:53+00:00
39,FCBarcelona,1647611621945081856,en,Twitter Web App,10656,458,2023-04-16 14:43:16+00:00
40,FCBarcelona,1647609299961540611,ca,Twitter Web App,1436,86,2023-04-16 14:34:02+00:00
41,FCBarcelona,1647604906566582273,en,Twitter for Advertisers,1867,115,2023-04-16 14:16:35+00:00
42,FCBarcelona,1647601954166648834,es,Twitter Web App,19695,698,2023-04-16 14:04:51+00:00
43,FCBarcelona,1647601362912399378,en,Twitter Web App,31361,1283,2023-04-16 14:02:30+00:00
44,FCBarcelona,1647600212599242753,en,Twitter for Advertisers,2472,98,2023-04-16 13:57:56+00:00
45,FCBarcelona,1647599563711164422,en,Grabyo,3663,181,2023-04-16 13:55:21+00:00
46,FCBarcelona,1647598968354881537,en,Grabyo,5769,240,2023-04-16 13:52:59+00:00
47,FCBarcelona,1647596187254489088,en,Grabyo,3518,183,2023-04-16 13:41:56+00:00
48,FCBarcelona,1647594931475677187,lt,Twitter Web App,14392,666,2023-04-16 13:36:57+00:00
49,FCBarcelona,1647592107513638913,en,Grabyo,3055,152,2023-04-16 13:25:43+00:00
50,FCBarcelona,1647591080345436160,en,Twitter Web App,17977,752,2023-04-16 13:21:38+00:00
51,FCBarcelona,1647589407984087042,fr,Twitter for Advertisers,1324,83,2023-04-16 13:15:00+00:00
52,FCBarcelona,1647589297258741762,en,Grabyo,6843,311,2023-04-16 13:14:33+00:00
53,FCBarcelona,1647583439414075395,ca,Twitter Web App,13822,1199,2023-04-16 12:51:17+00:00
54,FCBarcelona,1647577972893704192,es,Grabyo,2226,101,2023-04-16 12:29:33+00:00
55,FCBarcelona,1647576553209884673,en,Grabyo,3470,156,2023-04-16 12:23:55+00:00
56,FCBarcelona,1647574605790433281,en,Twitter for Advertisers,2517,131,2023-04-16 12:16:11+00:00
57,FCBarcelona,1647573180897275907,en,Grabyo,4787,255,2023-04-16 12:10:31+00:00
58,FCBarcelona,1647569881041100802,ht,Grabyo,2467,122,2023-04-16 11:57:24+00:00
59,FCBarcelona,1647540338716753920,en,Twitter Web App,14929,530,2023-04-16 10:00:01+00:00
60,FCBarcelona,1647525868560871424,ht,Twitter for iPhone,3070,114,2023-04-16 09:02:31+00:00
61,FCBarcelona,1647510143930695680,en,Twitter Web App,16625,1148,2023-04-16 08:00:02+00:00
62,FCBarcelona,1647495301698056192,en,Grabyo,4522,321,2023-04-16 07:01:03+00:00
63,FCBarcelona,1647472386592354304,en,Twitter Web App,12826,658,2023-04-16 05:30:00+00:00
64,FCBarcelona,1647412419994451969,en,Grabyo,2785,134,2023-04-16 01:31:43+00:00
65,FCBarcelona,1647382029607084033,en,Grabyo,12845,681,2023-04-15 23:30:57+00:00
66,FCBarcelona,1647366927449292800,en,Grabyo,5856,220,2023-04-15 22:30:56+00:00
67,FCBarcelona,1647351836393762818,en,Grabyo,5906,253,2023-04-15 21:30:58+00:00
68,FCBarcelona,1647336736656064514,en,Grabyo,5048,229,2023-04-15 20:30:58+00:00
69,FCBarcelona,1647328943769255937,en,Twitter Web App,14155,559,2023-04-15 20:00:00+00:00
70,FCBarcelona,1647327294958993409,en,Twitter for Advertisers,3624,108,2023-04-15 19:53:27+00:00
71,FCBarcelona,1647321559567069184,it,Twitter Web App,17835,583,2023-04-15 19:30:40+00:00
72,FCBarcelona,1647314087703871489,en,Grabyo,10705,560,2023-04-15 19:00:58+00:00
73,FCBarcelona,1647293234790514688,en,Twitter Web App,6948,240,2023-04-15 17:38:07+00:00
74,FCBarcelona,1647285792543322115,cy,Twitter for iPhone,44743,1582,2023-04-15 17:08:32+00:00
75,FCBarcelona,1647273418679525376,en,Grabyo,9823,459,2023-04-15 16:19:22+00:00
76,FCBarcelona,1647254987091607552,in,Grabyo,9550,510,2023-04-15 15:06:08+00:00
77,FCBarcelona,1647248411182129152,en,Twitter Web App,17157,1085,2023-04-15 14:40:00+00:00
78,FCBarcelona,1647227239946231808,en,Grabyo,2194,83,2023-04-15 13:15:52+00:00
79,FCBarcelona,1647198851911110661,en,Grabyo,5441,298,2023-04-15 11:23:04+00:00
80,FCBarcelona,1647198087377571841,en,Grabyo,3761,221,2023-04-15 11:20:02+00:00
81,FCBarcelona,1647196439917862912,en,Grabyo,2335,108,2023-04-15 11:13:29+00:00
82,FCBarcelona,1647195966158651392,en,Grabyo,1936,105,2023-04-15 11:11:36+00:00
83,FCBarcelona,1647193853789712384,es,Grabyo,2016,84,2023-04-15 11:03:12+00:00
84,FCBarcelona,1647147748687491074,en,Twitter Web App,51231,2285,2023-04-15 08:00:00+00:00
85,FCBarcelona,1647132914742616065,en,Grabyo,13722,875,2023-04-15 07:01:03+00:00
86,FCBarcelona,1647057497994272772,en,Grabyo,4850,227,2023-04-15 02:01:23+00:00
87,FCBarcelona,1646997861580587008,en,Grabyo,5316,302,2023-04-14 22:04:24+00:00
88,FCBarcelona,1646985006282166273,en,Twitter for iPhone,28580,1116,2023-04-14 21:13:19+00:00
