,user,id,lang,source,favorite_count,retweet_count,created_at
0,realmadrid,1648719879304798208,es,Twitter Web App,15134,1997,2023-04-19 16:07:05+00:00
1,realmadrid,1648673501329387521,qme,Twitter Web App,1602,92,2023-04-19 13:02:48+00:00
2,realmadrid,1648657910283599872,es,Twitter Web App,13801,729,2023-04-19 12:00:51+00:00
3,realmadrid,1648642600180789249,es,TweetDeck,14265,815,2023-04-19 11:00:00+00:00
4,realmadrid,1648627506688262144,es,TweetDeck,44705,2782,2023-04-19 10:00:02+00:00
5,realmadrid,1648616876619227136,es,Twitter Media Studio,6296,780,2023-04-19 09:17:47+00:00
6,realmadrid,1648605039467073536,es,Twitter Media Studio,8853,696,2023-04-19 08:30:45+00:00
7,realmadrid,1648597305824804865,es,TweetDeck,14038,569,2023-04-19 08:00:01+00:00
8,realmadrid,1648582205101445120,es,TweetDeck,13298,780,2023-04-19 07:00:01+00:00
9,realmadrid,1648567104227123200,es,TweetDeck,18839,1522,2023-04-19 06:00:01+00:00
10,realmadrid,1648451390837248001,es,TweetDeck,17740,832,2023-04-18 22:20:12+00:00
11,realmadrid,1648444834359943168,es,Twitter Media Studio,7604,536,2023-04-18 21:54:09+00:00
12,realmadrid,1648444219076542465,es,Twitter Web App,22526,1361,2023-04-18 21:51:43+00:00
13,realmadrid,1648443185449041926,qme,TweetDeck,23753,1439,2023-04-18 21:47:36+00:00
14,realmadrid,1648441440979279872,und,TweetDeck,47949,3395,2023-04-18 21:40:40+00:00
15,realmadrid,1648440125511335943,cy,Twitter Web App,29231,1675,2023-04-18 21:35:27+00:00
16,realmadrid,1648439555643826177,es,Twitter Media Studio,16161,1553,2023-04-18 21:33:11+00:00
17,realmadrid,1648438925869076481,es,Twitter Web App,23945,2014,2023-04-18 21:30:41+00:00
18,realmadrid,1648438104896966662,da,TweetDeck,26894,1312,2023-04-18 21:27:25+00:00
19,realmadrid,1648437545913716740,qme,TweetDeck,59377,5405,2023-04-18 21:25:12+00:00
20,realmadrid,1648437063849750531,es,Twitter Media Studio,15607,1279,2023-04-18 21:23:17+00:00
21,realmadrid,1648436336796536832,es,TweetDeck,18391,1269,2023-04-18 21:20:23+00:00
22,realmadrid,1648435595784626178,es,TweetDeck,57018,6887,2023-04-18 21:17:27+00:00
23,realmadrid,1648435204074381316,es,TweetDeck,8047,482,2023-04-18 21:15:53+00:00
24,realmadrid,1648434425108262912,zxx,TweetDeck,14944,1126,2023-04-18 21:12:48+00:00
25,realmadrid,1648433858281631746,es,TweetDeck,28558,1836,2023-04-18 21:10:32+00:00
26,realmadrid,1648432375767130112,es,TweetDeck,15141,1227,2023-04-18 21:04:39+00:00
27,realmadrid,1648432044500979712,qme,TweetDeck,50652,2933,2023-04-18 21:03:20+00:00
28,realmadrid,1648431673460277249,es,TweetDeck,66010,5218,2023-04-18 21:01:51+00:00
29,realmadrid,1648431040783060992,es,TweetDeck,14513,1060,2023-04-18 20:59:21+00:00
30,realmadrid,1648430691057795075,es,TweetDeck,61550,9914,2023-04-18 20:57:57+00:00
31,realmadrid,1648430406247796738,it,TweetDeck,16870,1406,2023-04-18 20:56:49+00:00
32,realmadrid,1648430063350861824,es,TweetDeck,14947,1213,2023-04-18 20:55:28+00:00
33,realmadrid,1648429724077797380,es,TweetDeck,42135,10143,2023-04-18 20:54:07+00:00
34,realmadrid,1648427377494736898,qme,TweetDeck,30234,3799,2023-04-18 20:44:47+00:00
35,realmadrid,1648426943447171079,es,TweetDeck,3035,165,2023-04-18 20:43:04+00:00
36,realmadrid,1648426382240907264,es,TweetDeck,22758,1908,2023-04-18 20:40:50+00:00
37,realmadrid,1648426250409750528,en,Twitter Media Studio,10985,2049,2023-04-18 20:40:19+00:00
38,realmadrid,1648425665270788096,es,TweetDeck,17665,1719,2023-04-18 20:37:59+00:00
39,realmadrid,1648425493816037377,es,TweetDeck,2243,121,2023-04-18 20:37:18+00:00
40,realmadrid,1648424214817538051,es,TweetDeck,3204,162,2023-04-18 20:32:13+00:00
41,realmadrid,1648423571281313792,es,TweetDeck,28889,2867,2023-04-18 20:29:40+00:00
42,realmadrid,1648422410826420224,es,TweetDeck,15925,1566,2023-04-18 20:25:03+00:00
43,realmadrid,1648421368780972033,es,Twitter Web App,63329,5699,2023-04-18 20:20:55+00:00
44,realmadrid,1648421080573280259,en,Twitter Media Studio,13223,2451,2023-04-18 20:19:46+00:00
45,realmadrid,1648417610323877888,es,TweetDeck,5089,241,2023-04-18 20:05:59+00:00
46,realmadrid,1648417526907568130,es,TweetDeck,2526,142,2023-04-18 20:05:39+00:00
47,realmadrid,1648413919361531906,es,TweetDeck,17684,1544,2023-04-18 19:51:19+00:00
